"itemID","Mean(date&time diff)","Sum(order)"
1,45,5
6,43.88888888888888,65
8,17,2
9,39.95312500000001,100
11,51,2
12,42,2
14,43,2
21,39.800000000000004,7
23,50.99999999999999,27
26,24,2
30,45.849056603773576,58
34,40.405172413793125,121
36,40,2
40,50.472222222222214,47
41,16.5,2
44,30.624999999999996,44
47,58.26086956521738,24
48,47,4
49,55,2
52,57.12499999999999,13
54,34.199999999999996,26
56,37.17647058823529,18
58,58.62500000000001,8
59,33.516129032258064,41
63,32,2
68,9,14
69,65,2
70,22.666666666666668,12
74,33,7
76,37.578947368421055,33
77,45.8,7
80,40.25,6
82,94.5,2
87,41,2
91,38.69444444444444,47
102,42.62135922330096,192
107,60,2
108,27.5,10
110,42.72222222222223,18
111,33.5,4
113,40.25,4
121,35,13
122,55.5,2
126,49,4
128,50.30769230769231,30
131,36.72727272727273,48
133,25.57142857142857,14
136,67,6
138,7.5,4
139,30.5,2
145,57.25,4
146,54.5,4
147,10.5,3
148,26.999999999999996,4
150,27.5,6
156,42.5,2
157,66.83333333333334,6
158,63.875,12
159,39.8,11
161,40.913043478260875,47
166,52.25,4
167,60.92307692307693,19
169,22.5,2
172,54.833333333333336,6
176,27,6
179,26.5,2
180,37.52678571428572,238
186,43.60000000000001,5
187,58,4
190,28,7
195,30.839999999999993,37
196,77.5,2
197,41.666666666666664,19
199,31.5,4
205,26.5,4
207,40.52173913043479,63
209,13.999999999999998,3
217,46.63157894736842,110
219,48.32258064516128,172
220,67.42857142857143,17
221,32.5,4
224,23.444444444444443,11
225,39.714285714285715,8
226,36.50000000000001,8
227,39.85714285714286,9
230,49,5
232,39.5,4
233,16.6,12
235,25.200000000000003,14
238,47.72413793103448,48
239,48.89999999999999,22
240,36.75,6
241,77.33333333333334,10
242,5.5,2
246,52.33333333333333,3
250,32.70588235294115,74
254,48.33333333333333,32
255,3,3
259,48.5,8
260,33.33333333333333,6
263,48.623853211009184,137
265,12.75,8
266,40.8,15
269,68.33333333333334,6
272,40.16666666666667,6
277,72.75,4
279,75,2
285,48.66666666666666,14
287,67.55555555555554,14
288,25.166666666666668,25
291,56.42857142857142,8
292,47,6
294,59,7
295,38.56756756756755,53
296,36.559999999999995,25
298,53.75,4
300,1.5,2
301,33.82142857142857,39
302,48.181818181818194,11
306,65,3
308,76,6
309,49.333333333333336,12
311,46.5,5
312,71,25
313,37.02702702702704,81
314,52,20
316,61.5,2
324,29.25,8
325,49.55555555555554,9
326,45.5,2
328,71,2
334,25.555555555555557,12
337,36.25,10
338,42.42857142857142,7
341,37.00000000000001,17
342,40.14285714285714,20
345,52.636363636363626,12
348,10,17
349,49.36842105263157,31
352,48.245370370370345,292
357,56.400000000000006,5
360,47,6
361,12.333333333333332,8
363,44.888888888888886,28
365,29.08333333333334,36
367,36.5,4
368,33.75,8
373,72.75,7
374,58,5
375,18.5,5
376,43.53968253968254,81
378,62.33333333333334,6
380,48,48
383,40.33333333333333,3
387,31.235294117647058,39
392,56.46808510638298,57
395,40.06285714285715,1112
398,36,7
399,60.5,2
400,27.333333333333332,6
404,7.25,4
405,50.5,10
408,8.5,2
410,37.8,20
411,53.075,71
419,44.14285714285715,10
420,87.5,2
421,37.8,7
422,44.1764705882353,42
423,63,6
424,55.44444444444444,13
425,44.85714285714283,126
426,51.33333333333334,13
427,39,5
428,22.999999999999996,11
433,36.913043478260875,49
434,64.05882352941177,27
438,37.84210526315788,25
439,20.833333333333336,19
442,50.75,5
443,51.25,7
445,32.72972972972973,58
450,29.5,3
459,42.60714285714287,28
461,45.864705882352986,680
463,55.888888888888886,12
466,51.97457627118645,201
470,41.333333333333336,7
472,50.5,2
475,15,3
477,24.75,4
478,39.965517241379295,40
485,68.71428571428572,7
